filename,width,height,class,xmin,ymin,xmax,ymax
037.jpg,720,1280,tomateRojo,140,791,361,1088
037.jpg,720,1280,tomateRojo,49,380,328,686
037.jpg,720,1280,tomateRojo,366,448,620,819
037.jpg,720,1280,tomateRojo,278,128,492,462
038.jpg,720,1280,tomateRojo,41,682,308,1031
038.jpg,720,1280,tomateRojo,317,271,571,731
039.jpg,720,1280,tomateRojo,3,469,263,855
039.jpg,720,1280,tomateRojo,217,668,517,1025
039.jpg,720,1280,tomateRojo,275,272,586,612
040.jpg,720,1280,tomateRojo,149,906,328,1146
040.jpg,720,1280,tomateRojo,366,785,603,1063
040.jpg,720,1280,tomateRojo,12,549,263,822
040.jpg,720,1280,tomateRojo,271,528,438,768
040.jpg,720,1280,tomateRojo,397,305,595,566
040.jpg,720,1280,tomateRojo,152,203,363,431
041.jpg,720,1280,tomateRojo,26,462,220,680
041.jpg,720,1280,tomateRojo,183,817,357,1026
041.jpg,720,1280,tomateRojo,375,743,603,1020
041.jpg,720,1280,tomateRojo,251,419,434,669
041.jpg,720,1280,tomateRojo,174,166,335,409
041.jpg,720,1280,tomateRojo,468,259,643,534
042.jpg,720,1280,tomateRojo,154,855,311,1059
042.jpg,720,1280,tomateRojo,343,708,563,1009
042.jpg,720,1280,tomateRojo,57,557,243,812
042.jpg,720,1280,tomateRojo,237,428,463,671
042.jpg,720,1280,tomateRojo,463,275,654,555
042.jpg,720,1280,tomateRojo,189,188,366,440
043.jpg,720,1280,tomateRojo,104,902,315,1129
043.jpg,720,1280,tomateRojo,324,742,568,1080
043.jpg,720,1280,tomateRojo,12,626,232,889
043.jpg,720,1280,tomateRojo,220,468,454,699
043.jpg,720,1280,tomateRojo,152,205,340,462
043.jpg,720,1280,tomateRojo,461,288,651,595
044.jpg,720,1280,tomateRojo,235,791,503,1105
044.jpg,720,1280,tomateRojo,26,560,218,879
044.jpg,720,1280,tomateRojo,429,280,658,641
044.jpg,720,1280,tomateRojo,166,175,406,481
045.jpg,720,1280,tomateRojo,229,679,537,1043
045.jpg,720,1280,tomateRojo,12,437,240,772
045.jpg,720,1280,tomateRojo,168,122,412,402
045.jpg,720,1280,tomateRojo,420,195,694,532
046.jpg,720,1280,tomateRojo,361,943,634,1243
046.jpg,720,1280,tomateRojo,214,545,503,862
046.jpg,720,1280,tomateRojo,6,411,208,751
046.jpg,720,1280,tomateRojo,138,46,381,363
046.jpg,720,1280,tomateRojo,400,148,675,515
047.jpg,720,1280,tomateRojo,281,879,524,1182
047.jpg,720,1280,tomateRojo,44,586,289,859
047.jpg,720,1280,tomateRojo,338,474,534,768
047.jpg,720,1280,tomateRojo,28,242,223,519
047.jpg,720,1280,tomateRojo,241,209,426,459
048.jpg,720,1280,tomateRojo,121,726,341,979
048.jpg,720,1280,tomateRojo,375,831,611,1117
048.jpg,720,1280,tomateRojo,160,374,332,639
048.jpg,720,1280,tomateRojo,335,452,543,695
049.jpg,720,1280,tomateRojo,138,714,328,1002
049.jpg,720,1280,tomateRojo,411,743,609,1000
049.jpg,720,1280,tomateRojo,169,383,349,629
049.jpg,720,1280,tomateRojo,368,437,555,665
050.jpg,720,1280,tomateRojo,277,740,517,1012
050.jpg,720,1280,tomateRojo,34,486,252,728
050.jpg,720,1280,tomateRojo,338,348,586,628
051.jpg,720,1280,tomateRojo,71,529,292,860
